rank,Category,Indicator,Policy,Country,ISO,value,unit,year
34,Health,"Immunization, measles (% of children ages 12-23 months)",C6_Stay at home requirements,Equatorial Guinea,GNQ,53.0,percent,2019.0
35,Social issues ,Proportion of seats held by women in national parliaments (%),C6_Stay at home requirements,Equatorial Guinea,GNQ,21.0,proportion,2020.0
36,Economics,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",C6_Stay at home requirements,Equatorial Guinea,GNQ,54.9630013,Percentage of females of the total population,2020.0
37,Economics,Volume of imports,C6_Stay at home requirements,Equatorial Guinea,GNQ,-7.256,percent change,2020.0
38,Health,Mortality due to COVID-19,C6_Stay at home requirements,Equatorial Guinea,GNQ,85.0,"Number (cumulative total by Dec 26,2020)",2020.0
39,Health,Summary exposure value tobacco,C6_Stay at home requirements,Equatorial Guinea,GNQ,13.12533,Rate (risk-weighted prevalence),2019.0
41,Health,"Physicians (per 1,000 people)",C6_Stay at home requirements,Equatorial Guinea,GNQ,0.4017,Ones,2017.0
42,Governance,Aggregate score for the Political Rights category,C6_Stay at home requirements,Equatorial Guinea,GNQ,0.0,score,2021.0
43,Health,"Prevalence of HIV, total (% of population ages 15-49)",C6_Stay at home requirements,Equatorial Guinea,GNQ,7.2,percent,2019.0
44,Environment,CO2 emissions (metric tons per capita),C6_Stay at home requirements,Equatorial Guinea,GNQ,4.653235,metric tons per capita,2016.0
47,Governance,Voice and accountability estimate,C6_Stay at home requirements,Equatorial Guinea,GNQ,-1.863563,score,2019.0
48,Health,Prevalence of Hypertensive heart disease,C6_Stay at home requirements,Equatorial Guinea,GNQ,0.000463,percent,2019.0
50,Health,Domestic General Government Health Expenditure (GGHE-D) as % General Government Expenditure (GGE),C6_Stay at home requirements,Equatorial Guinea,GNQ,0.6,percent,2018.0
51,Health,Prevalence of Diabetes,C6_Stay at home requirements,Equatorial Guinea,GNQ,0.026587,percent,2019.0
52,Health,Prevalence of obesity,C6_Stay at home requirements,Equatorial Guinea,GNQ,8.0,percent,2016.0
54,Economics,Employment in services (% of total employment) (modeled ILO estimate),C6_Stay at home requirements,Equatorial Guinea,GNQ,38.9399986,Percentage of total employment,2020.0
56,Governance,Total freedom in the world score ,C6_Stay at home requirements,Equatorial Guinea,GNQ,5.0,score,2021.0
57,Health,"Prevalence of stunting, height for age (modeled estimate, % of children under 5)",C6_Stay at home requirements,Equatorial Guinea,GNQ,19.7,percent,2020.0
58,Environment,"PM2.5 air pollution, mean annual exposure",C6_Stay at home requirements,Equatorial Guinea,GNQ,53.24062,micrograms per cubic meter,2017.0
61,Health,"Immunization, DPT (% of children ages 12-23 months)",C6_Stay at home requirements,Equatorial Guinea,GNQ,53.0,percent,2019.0
66,Health,Prevalence of total cancers,C6_Stay at home requirements,Equatorial Guinea,GNQ,0.002171,percent,2019.0
68,Social issues ,Press freedom score,C6_Stay at home requirements,Equatorial Guinea,GNQ,56.38,score,2020.0
69,Governance,Human Development Index,C6_Stay at home requirements,Equatorial Guinea,GNQ,0.592,index,2019.0
70,Governance,Control of corruption estimate,C6_Stay at home requirements,Equatorial Guinea,GNQ,-1.722886,score,2019.0
72,Governance,Government effectiveness estimate,C6_Stay at home requirements,Equatorial Guinea,GNQ,-1.342012,score,2019.0
74,Demographics,Secure Internet servers ,C6_Stay at home requirements,Equatorial Guinea,GNQ,19.91171000290563,per 1 million people,2019.0
76,Governance,Rule of law estimate ,C6_Stay at home requirements,Equatorial Guinea,GNQ,-1.422315,score,2019.0
77,Economics,"Unemployment, total (% of total labor force) (modeled ILO estimate)",C6_Stay at home requirements,Equatorial Guinea,GNQ,6.46999979,percent of total labor force,2020.0
80,Environment,Renewable energy consumption ,C6_Stay at home requirements,Equatorial Guinea,GNQ,7.82279977697172,percent of total final energy consumption,2015.0
82,Environment,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value ",C6_Stay at home requirements,Equatorial Guinea,GNQ,100.0,percent of total,2017.0
107,Health,"Incidence of tuberculosis (per 100,000 people)",C6_Stay at home requirements,Equatorial Guinea,GNQ,181.0,Cases,2019.0
117,Environment,Access to electricity ,C6_Stay at home requirements,Equatorial Guinea,GNQ,67.0325012207031,percent of population,2018.0
